EEG C3-A1	EEG O1-A1	EEG C4-A1	EEG O2-A1
-42.67578125	-18.26171875	-44.62890625	-15.234375
-43.1640625	-20.1171875	-45.5078125	-19.53125
-39.94140625	-22.65625	-44.3359375	-24.51171875
-33.0078125	-20.703125	-42.28515625	-23.33984375
-26.07421875	-18.06640625	-37.3046875	-21.19140625
-15.72265625	-11.81640625	-31.34765625	-17.578125
-3.7109375	-4.98046875	-25.29296875	-11.9140625
6.93359375	2.5390625	-17.48046875	-3.125
13.671875	7.91015625	-8.69140625	2.9296875
15.33203125	12.40234375	-4.296875	10.05859375
14.0625	16.9921875	-0.87890625	12.3046875
7.32421875	17.87109375	-6.34765625	9.5703125
0.68359375	16.9921875	-12.3046875	9.1796875
-3.125	16.796875	-15.8203125	9.47265625
-5.56640625	11.5234375	-16.69921875	9.66796875
-5.078125	8.10546875	-15.234375	9.5703125
-4.78515625	3.3203125	-14.16015625	4.58984375
-0.48828125	-0.5859375	-8.7890625	6.54296875
-2.9296875	-2.44140625	-7.6171875	3.02734375
-2.83203125	-4.39453125	-5.859375	3.3203125
3.61328125	-4.19921875	-1.67E-14	5.859375
14.2578125	0.390625	9.47265625	11.03515625
22.0703125	0.87890625	16.30859375	15.4296875
27.24609375	5.17578125	20.80078125	19.43359375
27.9296875	6.8359375	22.65625	21.77734375
20.21484375	2.63671875	17.67578125	16.30859375
12.59765625	4.1015625	14.0625	11.9140625
4.19921875	3.61328125	6.640625	7.6171875
-4.19921875	2.1484375	0.5859375	3.41796875
-10.44921875	1.66015625	-5.37109375	0.9765625
-12.01171875	-0.78125	-7.91015625	-0.48828125
-8.984375	-0.9765625	-5.17578125	0.48828125
-4.1015625	-0.48828125	-1.3671875	0.29296875
5.17578125	5.37109375	1.7578125	3.7109375
11.23046875	9.27734375	3.90625	8.203125
18.5546875	11.42578125	7.71484375	13.96484375
28.80859375	18.1640625	15.4296875	24.609375
32.421875	24.8046875	18.45703125	31.4453125
28.3203125	27.44140625	16.50390625	32.32421875
24.21875	31.25	14.94140625	33.30078125
11.9140625	28.515625	2.44140625	24.4140625
4.8828125	25.87890625	-0.29296875	18.65234375
2.9296875	21.58203125	-1.07421875	12.79296875
-2.734375	18.359375	-5.2734375	4.78515625
-7.03125	16.11328125	-6.25	-0.29296875
-13.18359375	12.79296875	-6.0546875	-5.2734375
-15.33203125	10.64453125	-8.0078125	-5.95703125
-10.9375	12.3046875	-4.8828125	-2.63671875
-7.71484375	12.79296875	-5.2734375	-0.78125
-2.44140625	17.08984375	-4.98046875	6.93359375
2.34375	24.4140625	-2.44140625	15.33203125
6.4453125	31.34765625	-0.5859375	22.75390625
12.109375	36.62109375	4.6875	28.90625
11.62109375	36.23046875	3.22265625	29.8828125
7.2265625	33.59375	-0.9765625	26.46484375
4.00390625	29.00390625	-2.9296875	22.36328125
0.5859375	26.5625	-5.078125	18.1640625
1.07421875	23.828125	-5.56640625	12.20703125
1.85546875	21.97265625	-2.1484375	6.73828125
-1.67E-14	16.40625	-2.5390625	-0.390625
-2.34375	13.96484375	-3.125	-1.85546875
-2.1484375	15.0390625	-2.83203125	-1.66015625
0.78125	17.48046875	-2.83203125	1.26953125
3.90625	20.8984375	-1.171875	6.73828125
5.95703125	24.12109375	2.34375	13.76953125
8.59375	27.734375	2.734375	19.921875
8.7890625	31.4453125	3.80859375	23.73046875
6.15234375	30.859375	1.953125	23.14453125
3.41796875	26.3671875	0.1953125	21.09375
-3.02734375	20.99609375	-3.41796875	14.0625
-8.0078125	10.64453125	-6.640625	8.0078125
-8.984375	5.2734375	-7.421875	4.296875
-10.3515625	2.05078125	-10.05859375	0.87890625
-14.6484375	-2.83203125	-12.98828125	-2.63671875
-17.96875	-4.98046875	-14.0625	-6.25
-20.703125	-7.03125	-17.3828125	-12.40234375
-18.9453125	-8.3984375	-14.6484375	-15.4296875
-14.74609375	-6.0546875	-11.81640625	-16.40625
-9.27734375	-0.68359375	-9.1796875	-12.20703125
-3.80859375	5.859375	-5.76171875	-7.6171875
1.3671875	11.9140625	-3.3203125	-4.19921875
4.19921875	11.03515625	-1.7578125	-1.3671875
8.0078125	11.9140625	2.83203125	2.734375
3.02734375	7.32421875	2.1484375	1.46484375
1.5625	7.51953125	3.02734375	4.296875
-2.5390625	3.61328125	3.125	3.02734375
-5.17578125	0.48828125	2.05078125	-0.5859375
-7.6171875	-3.02734375	-0.87890625	-4.8828125
-12.6953125	-7.32421875	-4.4921875	-9.86328125
-17.67578125	-10.15625	-8.88671875	-13.28125
-18.5546875	-12.109375	-10.7421875	-15.0390625
-18.75	-13.18359375	-14.453125	-17.7734375
-13.76953125	-13.0859375	-14.2578125	-20.21484375
-8.203125	-14.74609375	-12.40234375	-22.36328125
-3.80859375	-14.0625	-10.25390625	-22.36328125
-1.66015625	-13.37890625	-4.8828125	-18.45703125
3.80859375	-6.4453125	0.29296875	-12.20703125
1.3671875	-5.76171875	-1.7578125	-10.546875
-2.9296875	-2.34375	-3.41796875	-9.5703125
-6.8359375	-0.1953125	-7.03125	-9.765625
-10.15625	3.125	-10.05859375	-9.375
-10.9375	3.7109375	-7.91015625	-8.3984375
-8.88671875	4.78515625	-4.19921875	-7.91015625
-5.95703125	2.63671875	2.05078125	-6.4453125
-3.90625	-0.87890625	8.0078125	-6.4453125
0.68359375	-3.61328125	12.01171875	-7.71484375
4.4921875	0.1953125	13.96484375	-6.4453125
5.37109375	-2.1484375	9.5703125	-7.51953125
7.32421875	-0.09765625	5.95703125	-5.6640625
5.2734375	0.9765625	3.22265625	-6.73828125
8.0078125	1.26953125	4.78515625	-4.8828125
10.05859375	1.85546875	8.30078125	-3.3203125
8.59375	1.5625	10.64453125	-4.58984375
6.93359375	0.09765625	10.9375	-4.58984375
3.125	-2.734375	7.32421875	-8.984375
-3.125	-10.44921875	2.44140625	-14.55078125
-8.3984375	-15.52734375	0.48828125	-18.65234375
-10.44921875	-16.50390625	-1.7578125	-20.5078125
-11.71875	-15.625	-4.296875	-22.0703125
-11.5234375	-11.328125	-7.32421875	-24.21875
-9.9609375	-8.203125	-10.83984375	-27.34375
-6.93359375	-3.7109375	-12.20703125	-27.1484375
-2.44140625	-0.68359375	-10.83984375	-25.390625
-0.68359375	0.68359375	-11.1328125	-22.94921875
3.22265625	5.6640625	-7.6171875	-18.26171875
4.98046875	7.71484375	-7.6171875	-14.16015625
2.734375	8.88671875	-6.73828125	-12.20703125
-1.67E-14	6.93359375	-6.34765625	-12.59765625
-2.34375	3.125	-4.58984375	-14.6484375
-5.46875	-0.48828125	-5.2734375	-18.26171875
-5.56640625	-3.515625	-1.67E-14	-18.84765625
-5.56640625	-7.03125	2.34375	-20.99609375
